Place name,Total Score,Street,City,State,Country Code,Website,Phone,Categories,URL,Category Name,Demo Website URL
DNA Board Games Cafe,4.8,Montazah Tower - Khalidiyah St,,Abu Dhabi,AE,,+971 54 339 4595,"Cafe, Bakery",https://www.google.com/maps/search/?api=1&query=DNA%20Board%20Games%20Cafe&query_place_id=ChIJdwL27YllXj4REfpPpbKdk8E,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/dna-board-games-cafe.html
Mahaccino Cafe,4.5,,,Abu Dhabi,AE,,+971 2 628 1245,Cafe,https://www.google.com/maps/search/?api=1&query=Mahaccino%20Cafe&query_place_id=ChIJ-0yZ0iRfXj4RVSe6Z8VyV1c,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/mahaccino-cafe.html
M1 Cafe Lounge,4.5,,,Abu Dhabi,AE,,+971 56 803 3733,"Cafe, Coffee shop, Restaurant",https://www.google.com/maps/search/?api=1&query=M1%20Cafe%20Lounge&query_place_id=ChIJFyWwpGpnXj4R1gUQ2jmWTOg,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/m1-cafe-lounge.html
Lecoin cafe,4.6,Ar Rahah St,,Abu Dhabi,AE,,+971 50 131 4562,"Coffee shop, Hookah bar",https://www.google.com/maps/search/?api=1&query=Lecoin%20cafe&query_place_id=ChIJ3Xspo5dFXj4RTn_fmtY_O94,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/lecoin-cafe.html
Caliber Cafe,4.5,Etisalat Main Office - Tower A Sheikh Rashid Bin Saeed St,,Abu Dhabi,AE,,+971 50 722 2293,Coffee shop,https://www.google.com/maps/search/?api=1&query=Caliber%20Cafe&query_place_id=ChIJfSHeLuRlXj4RjOP_l8auKzs,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/caliber-cafe.html
Sanderson's Cafe,4.5,andalus al seef resort salam street near khalifa park,,Abu Dhabi,AE,,+971 2 222 1142,Restaurant,https://www.google.com/maps/search/?api=1&query=Sanderson's%20Cafe&query_place_id=ChIJiXZ6mUxDXj4RrTv5UDpNxEA,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/sandersons-cafe.html
Caffe Vergnano 1882,4.5,9G3Q+XF3 - Al Manhal St - inside Burjeel Medical City,,Abu Dhabi,AE,,,"Cafe, Coffee shop",https://www.google.com/maps/search/?api=1&query=Caffe%20Vergnano%201882&query_place_id=ChIJ6X8gfrI5Xj4RIwMxKzv7xJ4,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/caffe-vergnano-1882.html
Chennai central cafe,5.0,Shop 4 building no c 66,,Abu Dhabi,AE,,+971 52 163 2499,Restaurant,https://www.google.com/maps/search/?api=1&query=Chennai%20central%20cafe&query_place_id=ChIJlzDv5-tHXj4Rh532Wk4yG9A,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/chennai-central-cafe.html
Chai Garam Pocket Cafe,4.6,behind Hamdan Shopping Center,,Abu Dhabi,AE,,+971 58 520 7479,Cafe,https://www.google.com/maps/search/?api=1&query=Chai%20Garam%20Pocket%20Cafe&query_place_id=ChIJB1f9ksZnXj4RMlW-lSqbHTs,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/chai-garam-pocket-cafe.html
Keira's Cafe,4.5,Crescent Residences,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=Keira's%20Cafe&query_place_id=ChIJR-3qOHVFXj4Rt9zekqheYUU,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/keiras-cafe.html
Dots Cafe - Khalifa Branch,4.4,Hada-Aiq Al Raha St,,Abu Dhabi,AE,,+971 58 825 9225,Cafe,https://www.google.com/maps/search/?api=1&query=Dots%20Cafe%20-%20Khalifa%20Branch&query_place_id=ChIJD5KLGuNFXj4RohG75NRoJs0,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/dots-cafe-khalifa-branch.html
WALIFIH CAFE,4.9,8GPP+HX2 - Wadi An Najd St,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=WALIFIH%20CAFE&query_place_id=ChIJu4o_ghA5Xj4RtHx7aPvlpJE,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/walifih-cafe.html
Cafe Fountain,4.1,,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=Cafe%20Fountain&query_place_id=ChIJD8bO6bJlXj4RZ_E-ows1sfs,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/cafe-fountain.html
The Library Café,4.5,GCFM+VP9,,Abu Dhabi,AE,,+971 2 628 7223,Cafe,https://www.google.com/maps/search/?api=1&query=The%20Library%20Caf%C3%A9&query_place_id=ChIJkdCrf4ddXj4RN7V0_Qu192E,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/the-library-caf.html
Frenze Café فرينزي كافيه,4.3,4 شارع بُو فَحَّال,,Abu Dhabi,AE,,+971 55 106 4371,Cafe,https://www.google.com/maps/search/?api=1&query=Frenze%20Caf%C3%A9%20%D9%81%D8%B1%D9%8A%D9%86%D8%B2%D9%8A%20%D9%83%D8%A7%D9%81%D9%8A%D9%87&query_place_id=ChIJgfnD9NxnXj4RKUjtv4q-9xc,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/frenze-caf.html
Le Boulanger,4.2,Muroor Road - Salama Bint Butti St,,Abu Dhabi,AE,,+971 2 546 0236,"Cafe, Breakfast restaurant, Brunch restaurant, Coffee shop, Pasta shop, Tea house",https://www.google.com/maps/search/?api=1&query=Le%20Boulanger&query_place_id=ChIJv5iy_DdoXj4RfprpJdfREbc,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/le-boulanger.html
Lounge café,4.5,Unnamed Road,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=Lounge%20caf%C3%A9&query_place_id=ChIJYyoewxJFXj4Rj8SKpxnG0gs,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/lounge-caf.html
Cha And Nasta Cafe,4.6,F9J8+436 - 15 المَنْثُور,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=Cha%20And%20Nasta%20Cafe&query_place_id=ChIJWYgbl5FnXj4RQPySCVwk5AY,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/cha-and-nasta-cafe.html
La Ballena Cafe,4.2,CF2W+X9,,Abu Dhabi,AE,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=La%20Ballena%20Cafe&query_place_id=ChIJf6UgHDtBXj4RYRZ6-qOcu58,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/la-ballena-cafe.html
Teabook Cafe,4.0,47 Mana Bin Saeed Al Otaiba St,,Abu Dhabi,AE,,+971 58 979 7627,Restaurant,https://www.google.com/maps/search/?api=1&query=Teabook%20Cafe&query_place_id=ChIJk4jv5u9DXj4R1kFhMRg1hRI,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/teabook-cafe.html
New street cafe,4.2,8 Al Fateel St,,Abu Dhabi,AE,,+971 2 583 1827,Cafe,https://www.google.com/maps/search/?api=1&query=New%20street%20cafe&query_place_id=ChIJQZufsTdnXj4REnyzewMMJxY,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/new-street-cafe.html
"Fruzo Cafe | Best Cafeteria for Falooda, Shawarma, Snacks In Mussafah",4.5,10 Al Ghumamah St,,Abu Dhabi,AE,,+971 50 506 5205,"Cafe, Coffee shop",https://www.google.com/maps/search/?api=1&query=Fruzo%20Cafe%20%7C%20Best%20Cafeteria%20for%20Falooda%2C%20Shawarma%2C%20Snacks%20In%20Mussafah&query_place_id=ChIJbeiN_Ig5Xj4RQCMddKKBWDk,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/fruzo-cafe-best-cafeteria-for-falooda-shawarma-snacks-in-mussafah.html
al basha cafe,3.7,4 Sultan Bin Zayed The First St,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=al%20basha%20cafe&query_place_id=ChIJU-eufNVpXj4R-Vo6WgM9znI,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/al-basha-cafe.html
Soft Cafe,4.3,Al Wahda Mall - 1 Hazza ' Bin Zayed The First St,,Abu Dhabi,AE,,+971 54 407 6764,Cafe,https://www.google.com/maps/search/?api=1&query=Soft%20Cafe&query_place_id=ChIJ4ydj_ytnXj4Rq7J_wPGnKCM,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/soft-cafe.html
Cafe Mozart,3.6,Abu Dhabi-Dubai Road (E 10 Road,,Abu Dhabi,AE,,+971 2 508 0555,Cafe,https://www.google.com/maps/search/?api=1&query=Cafe%20Mozart&query_place_id=ChIJdzZoddFFXj4RCLUt4wNZiKs,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/cafe-mozart.html
FOREST CAFE & RESTAURANT,3.9,Mubarak Bin Mohammed St,,Abu Dhabi,AE,,+971 58 210 0059,Cafe,https://www.google.com/maps/search/?api=1&query=FOREST%20CAFE%20%26%20RESTAURANT&query_place_id=ChIJI0pUvFxnXj4RfO6qF3EISLI,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/forest-cafe-restaurant.html
UK Cafes (University Karak),4.0,"14th St - behind Madina Hypermarket, Gulfco Building",,Abu Dhabi,AE,,,"Cafe, Restaurant",https://www.google.com/maps/search/?api=1&query=UK%20Cafes%20(University%20Karak)&query_place_id=ChIJ9VtcP585Xj4RAGgGD4n5CtA,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/uk-cafes-university-karak.html
Crane Cafe,4.3,Al Jubail Island (North,,Abu Dhabi,AE,,+971 55 320 4590,Cafe,https://www.google.com/maps/search/?api=1&query=Crane%20Cafe&query_place_id=ChIJjS-J6hNdXj4RBdLCFvyRcPk,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/crane-cafe.html
HOOKAH CORNER CAFE,3.9,Airport road Rashid bin saeed - 2nd St,,Abu Dhabi,AE,,+971 2 886 8682,"Cafe, Restaurant",https://www.google.com/maps/search/?api=1&query=HOOKAH%20CORNER%20CAFE&query_place_id=ChIJXbNSbOxpXj4RMCYmcXRvF8Y,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/hookah-corner-cafe.html
Wheatfields Gourmet Grocer and Cafe,4.4,432,,Abu Dhabi,AE,,+971 2 550 0971,"Cafe, Bakery, Supermarket, Gourmet grocery store, Grocery store",https://www.google.com/maps/search/?api=1&query=Wheatfields%20Gourmet%20Grocer%20and%20Cafe&query_place_id=ChIJn2pPw6RGXj4RwG_LvZm4Ty4,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/wheatfields-gourmet-grocer-and-cafe.html
Best Tea cafe,3.9,47 Hifayif St,,Abu Dhabi,AE,,+971 2 641 8515,"Cafe, Breakfast restaurant",https://www.google.com/maps/search/?api=1&query=Best%20Tea%20cafe&query_place_id=ChIJ06dXsTBmXj4RfZO8aaP2z3Q,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/best-tea-cafe.html
Cafe Bona,4.1,Al Mall Street,,Abu Dhabi,AE,,+971 52 722 7133,Cafe,https://www.google.com/maps/search/?api=1&query=Cafe%20Bona&query_place_id=ChIJPc-jkQBDXz4Rx4azkHegwrg,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/cafe-bona.html
Alexandria Cafe,3.7,,,Abu Dhabi,AE,,+971 56 563 9164,"Coffee shop, Juice shop",https://www.google.com/maps/search/?api=1&query=Alexandria%20Cafe&query_place_id=ChIJU50DxllHXj4RP9YvxwJdrSk,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/alexandria-cafe.html
Golden Cup Cafe,4.0,F9H5+HPH,,Abu Dhabi,AE,,+971 2 673 3488,Cafe,https://www.google.com/maps/search/?api=1&query=Golden%20Cup%20Cafe&query_place_id=ChIJRcmuCW1mXj4R4yBg0N-IhxI,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/golden-cup-cafe.html
LET'S GRILL CAFE,3.9,behind EMKE stores,,Abu Dhabi,AE,,+971 58 166 0344,Restaurant,https://www.google.com/maps/search/?api=1&query=LET'S%20GRILL%20CAFE&query_place_id=ChIJVxTZC6JnXj4RFALki-cTnn8,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/lets-grill-cafe.html
MON Cafe,3.7,85 Al Itihad St,,Abu Dhabi,AE,,+971 54 296 3402,Cafe,https://www.google.com/maps/search/?api=1&query=MON%20Cafe&query_place_id=ChIJAZieYwRBXj4RQkw5904w3rE,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/mon-cafe.html
SHAWARMA CAFE TCA,3.9,5 - 02 Annafah St,,Abu Dhabi,AE,,+971 50 665 6143,Restaurant,https://www.google.com/maps/search/?api=1&query=SHAWARMA%20CAFE%20TCA&query_place_id=ChIJr_q2neBnXj4REYhnr9GwW14,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/shawarma-cafe-tca.html
Blonde special cafe,3.8,294 Al Mireef St,,Abu Dhabi,AE,,+971 2 447 0991,Cafe,https://www.google.com/maps/search/?api=1&query=Blonde%20special%20cafe&query_place_id=ChIJUwcSf65FXj4RjcXX3oqgrPQ,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/blonde-special-cafe.html
Kingdom of Beauty Cafe,4.3,Villa 306 - 306 King Abdullah Bin Abdulaziz Al Saud St,,Abu Dhabi,AE,,+971 2 666 6306,"Coffee shop, Bakery, Cafe, Cake shop, Candy store, Chocolate cafe, Ice cream shop, Soft drinks shop, Tea store",https://www.google.com/maps/search/?api=1&query=Kingdom%20of%20Beauty%20Cafe&query_place_id=ChIJKZuiVlxlXj4RRc7fYIPh-f0,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/kingdom-of-beauty-cafe.html
CAFÉS RICHARD -1892-,,FJ62+698,,Abu Dhabi,AE,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=CAF%C3%89S%20RICHARD%20-1892-&query_place_id=ChIJ0c3OtshFXj4RIfmCTsl759g,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/cafs-richard-1892.html
Hush House Specialty Coffee,4.9,183 Al Raha St,,Abu Dhabi,AE,,+971 55 993 0378,Coffee shop,https://www.google.com/maps/search/?api=1&query=Hush%20House%20Specialty%20Coffee&query_place_id=ChIJA5XYQgBPXj4RYD59ZBA-dWE,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/hush-house-specialty-coffee.html
Propaganda Coffee House,4.4,Al Bateen Park Plaza,,Abu Dhabi,AE,,+971 54 710 5754,Coffee shop,https://www.google.com/maps/search/?api=1&query=Propaganda%20Coffee%20House&query_place_id=ChIJx8bIPOlnXj4R1umZDNjyTOE,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/propaganda-coffee-house.html
Day to Day Internet Cafe,3.0,F9VC+85C,,Abu Dhabi,AE,,+971 2 672 4349,Internet cafe,https://www.google.com/maps/search/?api=1&query=Day%20to%20Day%20Internet%20Cafe&query_place_id=ChIJh_Avyl1mXj4RpLtHAOvmfHA,Internet cafe,https://abdulbaasithere.github.io/cafe-leads-demo/day-to-day-internet-cafe.html
Cappucci Restaurant & Cafe,4.5,Saadiyat Park View Building - opposite New York University,,Abu Dhabi,AE,,+971 56 111 6531,Restaurant,https://www.google.com/maps/search/?api=1&query=Cappucci%20Restaurant%20%26%20Cafe&query_place_id=ChIJL_3bVzVnXj4R8a_ozT-671o,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/cappucci-restaurant-cafe.html
Steroid Cafe - Simply Clean & Healthy,4.2,Plot 8 store 6E - Al Maqta' St,,Abu Dhabi,AE,,+971 2 555 7146,Cafe,https://www.google.com/maps/search/?api=1&query=Steroid%20Cafe%20-%20Simply%20Clean%20%26%20Healthy&query_place_id=ChIJL8ZsahRDXj4Rsx-W-ZX5RDc,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/steroid-cafe-simply-clean-healthy.html
مارجو مطعم وكافيهMargo Cafe & Restaurant,4.0,CF97+XMW,,Abu Dhabi,AE,,+971 50 987 0612,"Cafe, Restaurant",https://www.google.com/maps/search/?api=1&query=%D9%85%D8%A7%D8%B1%D8%AC%D9%88%20%D9%85%D8%B7%D8%B9%D9%85%20%D9%88%D9%83%D8%A7%D9%81%D9%8A%D9%87Margo%20Cafe%20%26%20Restaurant&query_place_id=ChIJJ1r4b8dDXj4R6TYplfX275M,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/margo-cafe-restaurant.html
Colours Cafe,4.0,F9R3+FQG,,Abu Dhabi,AE,,,Cafe,https://www.google.com/maps/search/?api=1&query=Colours%20Cafe&query_place_id=ChIJnZeqZXxmXj4R2Zyv0xfsQS4,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/colours-cafe.html
ROOF Coffee Shop,4.4,Al Meena St,,Abu Dhabi,AE,,+971 50 675 4798,Cafe,https://www.google.com/maps/search/?api=1&query=ROOF%20Coffee%20Shop&query_place_id=ChIJEWgh-05nXj4RpnxkcIXcAjk,Cafe,https://abdulbaasithere.github.io/cafe-leads-demo/roof-coffee-shop.html
Class Coffee,4.8,F9M8+M7F,,Abu Dhabi,AE,,+971 2 632 2566,Coffee shop,https://www.google.com/maps/search/?api=1&query=Class%20Coffee&query_place_id=ChIJSedXg9JnXj4RBCPr9RkbeTg,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/class-coffee.html
165 below speciality coffee shop,5.0,Abu Dhabi National Exhibition Centre,,Abu Dhabi,AE,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=165%20below%20speciality%20coffee%20shop&query_place_id=ChIJVXhyWABDXj4RLpBohScLvNk,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/165-below-speciality-coffee-shop.html
Flatout Specialty Coffee,4.3,F8JW+PCJ,,Abu Dhabi,AE,,+971 50 635 0131,Coffee shop,https://www.google.com/maps/search/?api=1&query=Flatout%20Specialty%20Coffee&query_place_id=ChIJq52grnplXj4RQNbl2s8IiaY,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/flatout-specialty-coffee.html
Petal Coffee House,4.2,Bain Al Jessrain - Al Muthabarah St,,Abu Dhabi,AE,,+971 58 105 6920,Coffee shop,https://www.google.com/maps/search/?api=1&query=Petal%20Coffee%20House&query_place_id=ChIJHzD9F7FBXj4RJ7tUe6sW5fU,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/petal-coffee-house.html
Surprise coffee shop,5.0,8J29+4MM,,Abu Dhabi,AE,,+971 50 289 9734,Coffee shop,https://www.google.com/maps/search/?api=1&query=Surprise%20coffee%20shop&query_place_id=ChIJuxDuNwA3Xj4ROg2_tbuV_fk,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/surprise-coffee-shop.html
Specialty Shop Coffee Roaster,4.4,"Life Pharmacy, Same building - Khalidiya building 38 beside Mosque, Same building Life Pharmacy Khalidiya building 38 - beside Mosque",,Abu Dhabi,AE,,+971 56 386 6000,"Coffee shop, Coffee roastery, Coffee store, Coffee wholesaler, Sweets and dessert buffet",https://www.google.com/maps/search/?api=1&query=Specialty%20Shop%20Coffee%20Roaster&query_place_id=ChIJS8-whjhnXj4RDxotMAorseY,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/specialty-shop-coffee-roaster.html
Robusta Coffee روبوستا كافيه,4.2,Delma Cooparative Society - 34 Bainuna Street - Jetty,,Abu Dhabi,AE,,+971 58 848 6225,"Coffee shop, Cafe",https://www.google.com/maps/search/?api=1&query=Robusta%20Coffee%20%D8%B1%D9%88%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%20%D9%83%D8%A7%D9%81%D9%8A%D9%87&query_place_id=ChIJDwnFpPdlXj4RcAAgsNP74Cw,Coffee shop,https://abdulbaasithere.github.io/cafe-leads-demo/robusta-coffee.html
San Thai Diner Restaurant,4.7,102 Humaid Alhasm Al Rumaithi St,,Abu Dhabi,AE,,+971 50 511 3165,"Thai restaurant, Japanese restaurant, Malaysian restaurant",https://www.google.com/maps/search/?api=1&query=San%20Thai%20Diner%20Restaurant&query_place_id=ChIJka-GltdnXj4R9iOkyuqUIjE,Thai restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/san-thai-diner-restaurant.html
Payyannur Restaurant Madinat Zayed,4.7,shopping centre - Sultan Bin Zayed The First St - 2nd floor - opposite calicut note book restaurant,,Abu Dhabi,AE,,+971 2 546 0444,Indian restaurant,https://www.google.com/maps/search/?api=1&query=Payyannur%20Restaurant%20Madinat%20Zayed&query_place_id=ChIJtcErpaNnXj4R2zCaGIYknBU,Indian restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/payyannur-restaurant-madinat-zayed.html
Beirut Sur Mer Restaurant,4.6,Jacques Chirac St,,Abu Dhabi,AE,,+971 54 395 4000,Middle Eastern restaurant,https://www.google.com/maps/search/?api=1&query=Beirut%20Sur%20Mer%20Restaurant&query_place_id=ChIJ3SXs4fZnXj4RdXN42PZOgIQ,Middle Eastern restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/beirut-sur-mer-restaurant.html
Aroy Dee Thai Restaurant in Mushrif Mall,4.9,,,Abu Dhabi,AE,,+971 2 886 9600,Restaurant,https://www.google.com/maps/search/?api=1&query=Aroy%20Dee%20Thai%20Restaurant%20in%20Mushrif%20Mall&query_place_id=ChIJTdXxe-NpXj4RIcdTzqxuhY0,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/aroy-dee-thai-restaurant-in-mushrif-mall.html
Bro Station Restaurant,4.8,Airport Road,,Abu Dhabi,AE,,+971 56 616 6700,"Lebanese restaurant, American restaurant, Fast food restaurant, Sandwich shop, Syrian restaurant",https://www.google.com/maps/search/?api=1&query=Bro%20Station%20Restaurant&query_place_id=ChIJoxzi9G1nXj4RbQOQC8oHUq4,Lebanese restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/bro-station-restaurant.html
Kitchen Kraftz Restaurant,4.7,india social and cultural center - Al Dhbat St,,Abu Dhabi,AE,,+971 50 850 9176,Restaurant,https://www.google.com/maps/search/?api=1&query=Kitchen%20Kraftz%20Restaurant&query_place_id=ChIJ8xCdPV1nXj4RImPDVGTHg1I,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/kitchen-kraftz-restaurant.html
Hansik Korean Restaurant,4.7,Ar Rahah St,,Abu Dhabi,AE,,+971 54 767 3797,Restaurant,https://www.google.com/maps/search/?api=1&query=Hansik%20Korean%20Restaurant&query_place_id=ChIJFZw-EmlPXj4R46l4CaZ5uLc,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/hansik-korean-restaurant.html
BBC RESTAURANT KHALIDIYA,4.0,Al Khalidiyah St,,Abu Dhabi,AE,,+971 54 422 8313,Restaurant,https://www.google.com/maps/search/?api=1&query=BBC%20RESTAURANT%20KHALIDIYA&query_place_id=ChIJEYXA1ulnXj4Rtcx6NyZiRA4,Restaurant,https://abdulbaasithere.github.io/cafe-leads-demo/bbc-restaurant-khalidiya.html
